WARNING: 2 open meshes merged
     Merged: WingGeom
     Merged: Horizontal_Stabilizer
...Mass Properties...
4 Num Comps
4 Total Num Meshes
3328 Total Num Tris

1.025601179467455e+01             Total Mass
4.804467991121247e+00 6.459479784730312e-17 1.901415989254383e-02       Center of Gravity
7.731646321637633e+00 6.914987898690840e+01 7.478208253375516e+01       Ixx, Iyy, Izz
-1.777938698407353e-02 7.294078911983713e-01 9.438020287825283e-03       Ixy, Ixz, Iyz
1.025601179467455e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	8.044894210036189e+00	5.144446896715678e+00	1.682388539471162e-16	5.943490926978412e-03	1.657507723348894e+00	4.228833558099001e+01	4.284048617790813e+01	-1.545375477994858e-02	7.609720730797642e-02	8.562717595982393e-03	8.044894210036189e+00
WingGeom	9.759215637322648e-01	5.916151843328687e+00	-1.350917830630149e-16	4.791284751839798e-02	4.942393352458019e+00	8.366036963373266e-01	5.770272532170992e+00	-2.280964572588042e-03	1.340978851719479e-02	1.002563977593414e-03	9.759215637322648e-01
Horizontal_Stabilizer	1.801507572905564e-01	9.024272765003117e+00	1.277949415957228e-16	6.463922106596397e-01	9.544630324263387e-02	9.046126014059895e-02	1.711189597588384e-01	-1.021085163344549e-04	1.104240390537532e-02	1.747447791388012e-05	1.801507572905564e-01
Fuselage_Engine	1.055045263615559e+00	4.632214530244551e-01	-5.915071059075013e-16	-1.517710709139786e-02	9.619681973306087e-01	6.324617971093565e-01	7.725189568437208e-01	5.744088479629338e-05	-2.813268351978459e-04	-1.447357636644789e-04	1.055045263615559e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.025601179467455e+01	4.804467991121247e+00	6.459479784730312e-17	1.901415989254383e-02	7.731646321637633e+00	6.914987898690840e+01	7.478208253375516e+01	-1.777938698407353e-02	7.294078911983713e-01	9.438020287825283e-03	1.025601179467455e+01

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
10 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.632214530244547e-01	1.176678865981186e+00	4.632214530244556e-01	-4.360106082064568e-16	-1.378353054975962e-02	9.659509789300726e-01	6.587844009365569e-01	8.012529747757292e-01	7.826829020454729e-05	-2.950141875306189e-04	-2.000026950881578e-04	1.176678865981186e+00
1.467092879021880e+00	1.745208789842935e+00	7.902487684442151e-01	-3.041850739215114e-16	-1.152530352144051e-02	1.043843225399176e+00	1.183963951718077e+00	1.365282632022664e+00	-1.140659347972278e-03	1.408795488075043e-03	-6.834160134382777e-04	1.745208789842935e+00
2.470964305019306e+00	2.648717382500307e+00	1.363560568012231e+00	-1.733288195354792e-16	-9.944848163505649e-03	1.220712985153607e+00	3.112775210317834e+00	3.355999377437164e+00	-2.554591670044736e-03	4.910752247502040e-03	-5.589763056372881e-04	2.648717382500307e+00
3.474835731016732e+00	3.724994856244350e+00	1.973579638242047e+00	2.006893850594820e-17	-6.598981336205846e-03	1.465945571085754e+00	6.838735728422970e+00	7.149861568450078e+00	-5.821476585446099e-03	2.129101238419321e-02	3.953816744336626e-04	3.724994856244350e+00
4.478707157014157e+00	4.944097051532247e+00	2.591287265292919e+00	7.708281051719345e-17	-2.246439746375726e-03	1.763938359321886e+00	1.295368285003956e+01	1.337319222472654e+01	-7.256707935420196e-03	6.076043974283113e-02	2.778094984678253e-03	4.944097051532247e+00
5.482578583011584e+00	6.613780938442773e+00	3.321209010583714e+00	6.826963931456293e-17	3.540509431432534e-03	2.974764184415761e+00	2.383481997373137e+01	2.527218673617122e+01	-1.162209237664791e-02	1.409350677764100e-01	5.108734250588395e-03	6.613780938442773e+00
6.486450009009009e+00	7.966502262130968e+00	3.858670603174377e+00	1.902240429371051e-17	6.542389101107808e-03	5.174250313564632e+00	3.545539637095238e+01	3.892177125137445e+01	-1.445501214339104e-02	2.019579761055704e-01	7.583103905074296e-03	7.966502262130968e+00
7.490321435006435e+00	9.145278752413198e+00	4.326770563533478e+00	6.892361876233538e-17	8.028066681302834e-03	7.436327591691628e+00	4.932350487583876e+01	5.489642630388910e+01	-1.671085095825398e-02	2.434500020383271e-01	9.217105114983196e-03	9.145278752413198e+00
8.494192861003860e+00	9.986677696933739e+00	4.677884800807758e+00	6.492765395797967e-17	1.225366878133353e-02	7.597426567573820e+00	6.294081154107524e+01	6.855702044031415e+01	-1.769878588915890e-02	4.039774356219716e-01	9.548466636077748e-03	9.986677696933739e+00
9.498064287001286e+00	1.025601179467455e+01	4.804467991121250e+00	5.734852827112378e-17	1.901415989254382e-02	7.731646321637637e+00	6.914987898690828e+01	7.478208253375526e+01	-1.777938698407407e-02	7.294078911983721e-01	9.438020287825321e-03	1.025601179467455e+01
