/sa m  2  3                                                   ;mark, dash & color for column 2
//cwt  1  2                ;line weight
/sm    OFF                 ;data marks
/sc    ON                  ;connect points
/sd     OFF
/td axya
    1  0.000000  0.000001  0.000000
    2  0.002408  0.002301  0.000000
    3  0.009607  0.009047  0.000000
    4  0.021530  0.019781  0.000000
    5  0.038060  0.033761  0.000000
    6  0.059039  0.049992  0.000000
    7  0.084265  0.067270  0.000000
    8  0.113495  0.084235  0.000000
    9  0.146447  0.099425  0.000000
   10  0.182803  0.111345  0.000000
   11  0.222215  0.118534  0.000000
   12  0.264302  0.120016  0.000000
   13  0.308658  0.120016  0.000000
   14  0.354858  0.120016  0.000000
   15  0.402455  0.120016  0.000000
   16  0.450991  0.120016  0.000000
   17  0.500000  0.120016  0.000000
   18  0.549009  0.120016  0.000000
   19  0.597545  0.120016  0.000000
   20  0.645142  0.120016  0.000000
   21  0.691342  0.120016  0.000000
   22  0.735698  0.120016  0.000000
   23  0.777785  0.118534  0.000000
   24  0.817197  0.111345  0.000000
   25  0.853553  0.099425  0.000000
   26  0.886505  0.084235  0.000000
   27  0.915735  0.067270  0.000000
   28  0.940961  0.049992  0.000000
   29  0.961940  0.033761  0.000000
   30  0.978470  0.019781  0.000000
   31  0.990393  0.009047  0.000000
   32  0.997592  0.002300  0.000000
   33  1.000000  0.000001  0.000000
   33  1.000000  0.000001  0.000000
 //nc
/sa m  2  3                                                   ;mark, dash & color for column 2
//cwt  1  2                ;line weight
/sm    OFF                 ;data marks
/sc    ON                  ;connect points
/sd     OFF
/td axya
    1  0.500831  0.172717  0.000000
    2  0.514554  0.192460  0.000000
    3  0.528278  0.212204  0.000000
    4  0.542001  0.231947  0.000000
    5  0.555724  0.251690  0.000000
    6  0.569448  0.271433  0.000000
    7  0.583171  0.291177  0.000000
    8  0.596894  0.310920  0.000000
    9  0.610618  0.330663  0.000000
   10  0.624341  0.350406  0.000000
   11  0.638064  0.370150  0.000000
   12  0.651787  0.389893  0.000000
   13  0.665511  0.409636  0.000000
   14  0.679234  0.429380  0.000000
   15  0.692957  0.449123  0.000000
   16  0.706681  0.468866  0.000000
   17  0.720404  0.488609  0.000000
   18  0.734127  0.508353  0.000000
   19  0.747851  0.528096  0.000000
   20  0.761574  0.547839  0.000000
   21  0.825642  0.547839  0.000000
   22  0.816038  0.528096  0.000000
   23  0.806434  0.508353  0.000000
   24  0.796830  0.488609  0.000000
   25  0.787226  0.468866  0.000000
   26  0.777622  0.449123  0.000000
   27  0.768018  0.429380  0.000000
   28  0.758414  0.409636  0.000000
   29  0.748810  0.389893  0.000000
   30  0.739206  0.370150  0.000000
   31  0.729602  0.350406  0.000000
   32  0.719998  0.330663  0.000000
   33  0.710394  0.310920  0.000000
   34  0.700790  0.291177  0.000000
   35  0.691186  0.271433  0.000000
   36  0.681583  0.251690  0.000000
   37  0.671979  0.231947  0.000000
   38  0.662375  0.212204  0.000000
   39  0.652771  0.192460  0.000000
   40  0.643167  0.172717  0.000000
   40  0.643167  0.172717  0.000000
 //nc
