McDONNELL DOUGLAS DLBA032
0 51 51 0 1

0  0
0.000987  0.0059
0.003943  0.011518
0.008856  0.016707
0.015708  0.021416
0.024472  0.025716
0.035112  0.0297
0.047586  0.033457
0.061847  0.037018
0.077836  0.040393
0.095491  0.043573
0.114743  0.046544
0.135516  0.049291
0.157726  0.051804
0.181288  0.054078
0.206107  0.056117
0.232086  0.057928
0.259123  0.059514
0.287109  0.060865
0.315936  0.061971
0.34549  0.062825
0.375653  0.063425
0.406307  0.063779
0.43733  0.063902
0.468601  0.063784
0.499996  0.063421
0.531391  0.062808
0.562661  0.061939
0.593685  0.060802
0.624339  0.059382
0.654502  0.057658
0.684056  0.055615
0.712883  0.053236
0.74087  0.050544
0.767906  0.047559
0.793886  0.044332
0.818705  0.040914
0.842267  0.037353
0.864477  0.033717
0.88525  0.030041
0.904502  0.026379
0.922158  0.022773
0.938148  0.019255
0.952408  0.015921
0.964884  0.012843
0.975524  0.010085
0.984288  0.007704
0.991141  0.005777
0.996056  0.004207
0.999013  0.003141
1  0.002767

0  0
0.000987  -0.005902
0.003943  -0.011541
0.008856  -0.016766
0.015708  -0.021418
0.024472  -0.025604
0.035112  -0.029455
0.047586  -0.033106
0.061847  -0.036597
0.077836  -0.039925
0.095491  -0.043063
0.114743  -0.045977
0.135516  -0.048648
0.157726  -0.051053
0.181288  -0.053188
0.206107  -0.055052
0.232086  -0.056637
0.259123  -0.057936
0.287109  -0.058908
0.315936  -0.059499
0.34549  -0.059665
0.375653  -0.059335
0.406307  -0.058455
0.43733  -0.056918
0.468601  -0.054649
0.499996  -0.051592
0.531391  -0.047714
0.562661  -0.043038
0.593685  -0.037655
0.624339  -0.03169
0.654502  -0.02536
0.684056  -0.018931
0.712883  -0.012634
0.74087  -0.006793
0.767906  -0.001574
0.793886  0.002854
0.818705  0.006385
0.842267  0.008909
0.864477  0.01048
0.88525  0.011141
0.904502  0.010938
0.922158  0.010063
0.938148  0.008626
0.952408  0.006864
0.964884  0.004909
0.975524  0.002884
0.984288  0.001054
0.991141  -0.000501
0.996056  -0.001717
0.999013  -0.002498
1  -0.002767
