/sa m  2  3                                                   ;mark, dash & color for column 2
//cwt  1  2                ;line weight
/sm    OFF                 ;data marks
/sc    ON                  ;connect points
/sd     OFF
/td axya
    1  0.000000  0.000001  0.000000
    2  0.002408  0.001007  0.000000
    3  0.009607  0.003959  0.000000
    4  0.021530  0.008656  0.000000
    5  0.038060  0.014773  0.000000
    6  0.059039  0.021875  0.000000
    7  0.084265  0.029435  0.000000
    8  0.113495  0.036858  0.000000
    9  0.146447  0.043505  0.000000
   10  0.182803  0.048721  0.000000
   11  0.222215  0.051867  0.000000
   12  0.264302  0.052515  0.000000
   13  0.308658  0.052515  0.000000
   14  0.354858  0.052515  0.000000
   15  0.402455  0.052515  0.000000
   16  0.450991  0.052515  0.000000
   17  0.500000  0.052515  0.000000
   18  0.549009  0.052515  0.000000
   19  0.597545  0.052515  0.000000
   20  0.645142  0.052515  0.000000
   21  0.691342  0.052515  0.000000
   22  0.735698  0.052515  0.000000
   23  0.777785  0.051867  0.000000
   24  0.817197  0.048721  0.000000
   25  0.853553  0.043505  0.000000
   26  0.886505  0.036858  0.000000
   27  0.915735  0.029435  0.000000
   28  0.940961  0.021875  0.000000
   29  0.961940  0.014773  0.000000
   30  0.978470  0.008656  0.000000
   31  0.990393  0.003959  0.000000
   32  0.997592  0.001007  0.000000
   33  1.000000  0.000001  0.000000
   33  1.000000  0.000001  0.000000
 //nc
/sa m  2  3                                                   ;mark, dash & color for column 2
//cwt  1  2                ;line weight
/sm    OFF                 ;data marks
/sc    ON                  ;connect points
/sd     OFF
/td axya
    1  0.549846  0.226866  0.000000
    2  0.562387  0.244776  0.000000
    3  0.574928  0.262687  0.000000
    4  0.587469  0.280597  0.000000
    5  0.600010  0.298508  0.000000
    6  0.612551  0.316418  0.000000
    7  0.625092  0.334329  0.000000
    8  0.637633  0.352239  0.000000
    9  0.650174  0.370149  0.000000
   10  0.662715  0.388060  0.000000
   11  0.675256  0.405970  0.000000
   12  0.687797  0.423881  0.000000
   13  0.700338  0.441791  0.000000
   14  0.712879  0.459701  0.000000
   15  0.725420  0.477612  0.000000
   16  0.737961  0.495522  0.000000
   17  0.750502  0.513433  0.000000
   18  0.763043  0.531343  0.000000
   19  0.775584  0.549254  0.000000
   20  0.788125  0.567164  0.000000
   21  0.866898  0.567164  0.000000
   22  0.857121  0.549254  0.000000
   23  0.847344  0.531343  0.000000
   24  0.837567  0.513433  0.000000
   25  0.827790  0.495522  0.000000
   26  0.818013  0.477612  0.000000
   27  0.808236  0.459701  0.000000
   28  0.798459  0.441791  0.000000
   29  0.788682  0.423881  0.000000
   30  0.778905  0.405970  0.000000
   31  0.769127  0.388060  0.000000
   32  0.759350  0.370149  0.000000
   33  0.749573  0.352239  0.000000
   34  0.739796  0.334329  0.000000
   35  0.730019  0.316418  0.000000
   36  0.720242  0.298508  0.000000
   37  0.710465  0.280597  0.000000
   38  0.700688  0.262687  0.000000
   39  0.690911  0.244776  0.000000
   40  0.681134  0.226866  0.000000
   40  0.681134  0.226866  0.000000
 //nc
