WARNING: 2 open meshes merged
     Merged: WingGeom
     Merged: Horizontal_Stabilizer
...Mass Properties...
4 Num Comps
4 Total Num Meshes
11392 Total Num Tris

1.716793975560889e+03             Total Mass
5.567293935929295e+00 -1.027357148667648e-06 1.105739019221960e-01       Center of Gravity
1.212659674515970e+03 8.466619859868415e+03 9.219368283359980e+03       Ixx, Iyy, Izz
-4.166926062470544e+00 3.829931830674388e+02 3.522356292439612e+00       Ixy, Ixz, Iyz
1.015854423408810e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	1.351870514806305e+03	5.142002958255866e+00	-1.453478611025557e-06	5.923981453822121e-03	2.479434577407130e+02	6.819574344594348e+03	6.889567134844475e+03	-3.914973522093305e+00	1.402148914711429e+01	2.999405003328483e+00	7.999233815421921e+00
WingGeom	1.602810263834768e+02	6.414015727106741e+00	-1.597764156167896e-06	4.763836181976214e-02	7.929448393592218e+02	7.896274216641474e+01	8.707956883698026e+02	-1.079454210732345e-01	1.981292138010787e+00	3.076163426982788e-01	9.484084401389179e-01
Horizontal_Stabilizer	3.307107044097557e+01	9.016933123096566e+00	1.382615038624849e-05	6.575970627432373e-01	1.842307172716464e+01	5.754186387722969e+00	2.135191150622674e+01	3.618213163754555e-03	5.615001450151496e-01	3.415916657056896e-03	1.956868073430504e-01
Fuselage_Engine	1.715713639301161e+02	7.462374951642547e+00	-1.440005188499521e-16	8.885001844902143e-01	2.418257608541553e+01	6.401942090760488e+01	6.851011241504155e+01	-1.498214872880335e-01	-5.395595905792249e-01	2.114471603974123e-01	1.015215171184113e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.716793975560889e+03	5.567293935929295e+00	-1.027357148667648e-06	1.105739019221960e-01	1.212659674515970e+03	8.466619859868415e+03	9.219368283359980e+03	-4.166926062470544e+00	3.829931830674388e+02	3.522356292439612e+00	1.015854423408810e+01

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.500000000000000e-01	3.432676515247913e+00	2.500000000000002e-01	4.107806013337896e-17	-9.293461392608016e-04	4.200572577651437e-02	1.860960402731049e-01	2.134801558417338e-01	-1.230711983761684e-03	-9.015269564547553e-04	-1.192608113890884e-03	2.031169535649654e-02
7.500000000000000e-01	2.400255967957600e+01	6.784935323342035e-01	2.081702025285092e-17	-3.018363743341201e-03	1.342246239491004e+00	2.231432255610234e+00	3.081960302549180e+00	-1.697871156664902e-02	-1.215003961459372e-02	1.584485492078403e-02	1.420269803525208e-01
1.250000000000000e+00	6.356845980762890e+01	1.034207165960537e+00	-2.146870144354661e-17	-4.773373675053365e-03	5.827790211057421e+00	1.015610605559187e+01	1.352336596039698e+01	-5.826452439882126e-02	-5.381549948686594e-02	1.213451098327791e-01	3.761447325895203e-01
1.750000000000000e+00	1.204379813612358e+02	1.372196856116757e+00	-1.997969989893536e-18	-6.019273102472159e-03	1.407509270230735e+01	3.075301455217810e+01	3.785597946516782e+01	-2.356026336711443e-01	-1.378500667483620e-01	2.797175822366672e-01	7.126507772854189e-01
2.250000000000000e+00	1.914695825753615e+02	1.697845254270437e+00	-3.539501908725525e-17	-6.543028466848001e-03	2.592815932421650e+01	7.275857980646742e+01	8.395824949567141e+01	-4.718706711782311e-01	-2.225239286763533e-01	4.673820870802157e-01	1.132956109913381e+00
2.750000000000000e+00	2.726418741625548e+02	2.011097985816323e+00	-3.452984954403763e-17	-6.135050810737928e-03	4.080149988276457e+01	1.455911466120348e+02	1.606675230354853e+02	-7.774595350723850e-01	-1.763168998968301e-01	6.785124011070344e-01	1.613265527589080e+00
3.250000000000000e+00	3.605997629787653e+02	2.313292320936184e+00	5.593373411689888e-17	-4.830771909647654e-03	5.793217225315144e+01	2.589481591109268e+02	2.777517931899740e+02	-1.092342181237080e+00	2.260015599764341e-01	9.004507048800159e-01	2.133726408158373e+00
3.750000000000000e+00	4.531767119889399e+02	2.606789338828983e+00	1.839507544023768e-16	-2.937429093010742e-03	7.675004756650324e+01	4.232219083947813e+02	4.460471367821025e+02	-1.416344515914732e+00	1.166064384205051e+00	1.129400852498356e+00	2.681519005851714e+00
4.250000000000000e+00	5.485413330401568e+02	2.892463640055107e+00	3.024770381423488e-16	-8.451689417040984e-04	9.665612271084690e+01	6.486026338765540e+02	6.759694965037589e+02	-1.745332479218678e+00	2.681515506802453e+00	1.360047868003553e+00	3.245806704379623e+00
4.750000000000000e+00	6.452626413757343e+02	3.170898087510059e+00	2.914373784215067e-16	1.065445801651770e-03	1.167518693611150e+02	9.450668720565313e+02	9.770896110097583e+02	-1.996879339910532e+00	4.587911533698188e+00	1.544842861857743e+00	3.818122138317952e+00
5.250000000000000e+00	7.523407040094625e+02	3.466809505862217e+00	-6.036113163642151e-10	2.745558891426858e-03	1.437064113528718e+02	1.355307024404906e+03	1.398927829828236e+03	-2.229158127730798e+00	6.809503194068324e+00	1.758076421881459e+00	4.451720142067822e+00
5.750000000000000e+00	8.830021427386391e+02	3.804662542018576e+00	7.928610896754959e-07	4.685845459274534e-03	2.094451556227472e+02	1.949981901938956e+03	2.044287681765536e+03	-2.501416547276077e+00	1.010296203030738e+01	2.014211384418425e+00	5.224864749932771e+00
6.250000000000000e+00	1.025757701155557e+03	4.144982204194827e+00	6.825179476474958e-07	7.339944729556720e-03	3.516116512896521e+02	2.699417112010429e+03	2.921551777882511e+03	-2.787718232425701e+00	1.579476143430581e+01	2.332547827118454e+00	6.069572196186729e+00
6.750000000000000e+00	1.188074274496859e+03	4.500883826833087e+00	5.892712737231802e-07	3.756210019011176e-02	5.933291696832306e+02	3.696820472052252e+03	4.084795511744067e+03	-3.112294600083441e+00	9.650840834762572e+01	2.607992982337310e+00	7.030025292880821e+00
7.250000000000000e+00	1.351105766176805e+03	4.832606569591499e+00	5.181667183309422e-07	7.024714729456068e-02	8.785157037760221e+02	4.836519735795862e+03	5.414180490087462e+03	-3.497434263716713e+00	2.032009485645743e+02	2.926715044452431e+00	7.994708675602399e+00
7.750000000000000e+00	1.497010889910069e+03	5.116948288353433e+00	4.704132802011577e-07	9.337009866138059e-02	1.138020812719695e+03	6.004954614684871e+03	6.762032705927458e+03	-3.830397954958620e+00	2.942934813379833e+02	3.226954831330349e+00	8.858052603018157e+00
8.250000000000000e+00	1.601190428472979e+03	5.320796547629099e+00	4.398063566229224e-07	1.048587115956179e-01	1.174843976109563e+03	6.991271473059908e+03	7.735574366358209e+03	-4.032952971321823e+00	3.481483010389255e+02	3.384984513639743e+00	9.474499576763181e+00
8.750000000000000e+00	1.668547284535812e+03	5.459228563006939e+00	-1.057063578589530e-06	1.065383918541534e-01	1.192574751374487e+03	7.761745550383476e+03	8.510054567919662e+03	-4.144471138020793e+00	3.573537485806796e+02	3.495676703595695e+00	9.873060855241480e+00
9.250000000000000e+00	1.711526369695780e+03	5.554420720894324e+00	-1.030519070508013e-06	1.104281539821849e-01	1.210869966283161e+03	8.373202743193671e+03	9.125565870232749e+03	-4.165291959236235e+00	3.819476629604156e+02	3.523705093320744e+00	1.012737496861407e+01
9.750000000000000e+00	1.716793975560889e+03	5.567293935929298e+00	-1.027357148707278e-06	1.105739019221958e-01	1.212659674515968e+03	8.466619859868410e+03	9.219368283359985e+03	-4.166926062470607e+00	3.829931830674388e+02	3.522356292439621e+00	1.015854423408809e+01
