Results_Name,Projection
Results_Timestamp,1750155528
Results_Date,6,17,2025
Results_Time,12,18,48
Area,1.233487055796337550e+01
Comp_Areas,1.764777741988901472e+00,3.825142116616253030e-01,1.411588854725001141e-03,4.458148364000603658e-01,1.030099768215773892e+01
Comp_IDs,DUCGSDBIRD,JQHYUHCTTC,KFVMCYNQHV,QLKOVUGBNH,VQFHXZRMTC
Comp_Names,Fuselage_Engine,WingGeom,ConformalGeom,Horizontal_Stabilizer,FuselageGeom
Direction,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
Mesh_GeomID,KUFEGFUOHS
Path,7.768310500000002783e+00,4.406571631827278068e+00,1.532963730519518286e+00,8.248625000000002316e+00,4.406571631827278068e+00,1.465378130519518374e+00,8.699999900000003450e+00,4.406571631827278068e+00,1.364999930519518179e+00,8.699999900000003450e+00,4.406571631827278068e+00,9.465659305195179840e-01,9.026837000000003997e+00,4.406571631827278068e+00,1.294214930519518081e+00,9.031176800000004334e+00,4.406571631827278068e+00,1.296090730519518175e+00,9.037661200000002282e+00,4.406571631827278068e+00,1.297643430519518137e+00,9.046685700000002939e+00,4.406571631827278068e+00,1.298925230519518248e+00,9.058621600000002161e+00,4.406571631827278068e+00,1.299838630519518201e+00,9.073539500000002533e+00,4.406571631827278068e+00,1.300241730519518191e+00,9.090980800000004081e+00,4.406571631827278068e+00,1.300041130519518084e+00,9.109879600000002853e+00,4.406571631827278068e+00,1.299268430519518125e+00,9.128757700000003084e+00,4.406571631827278068e+00,1.298090230519518107e+00,9.146148100000003112e+00,4.406571631827278068e+00,1.296736030519518135e+00,9.161013500000002807e+00,4.406571631827278068e+00,1.295410730519518161e+00,9.172929100000002833e+00,4.406571631827278068e+00,1.294247130519518230e+00,9.181997200000003190e+00,4.406571631827278068e+00,1.293302330519518151e+00,9.188629300000002331e+00,4.406571631827278068e+00,1.292577830519518134e+00,9.193340200000003293e+00,4.406571631827278068e+00,1.292045330519518087e+00,9.196617400000004494e+00,4.406571631827278068e+00,1.291665930519518168e+00,8.964914200000002609e+00,4.406571631827278068e+00,8.549995305195179363e-01,8.849062700000002835e+00,4.406571631827278068e+00,6.366663305195179312e-01,8.738853900000002284e+00,4.406571631827278068e+00,4.289677305195178647e-01,9.105503900000002204e+00,4.406571631827278068e+00,3.356949305195178201e-01,9.593674600000003494e+00,4.406571631827278068e+00,1.730621305195177984e-01,9.999999900000002384e+00,4.406571631827278068e+00,3.051951769084126909e-08,1.000000000000000355e+01,4.406571631827278068e+00,3.051951769084126909e-08,9.999996800000003461e+00,4.406571631827278068e+00,-1.269480482291029944e-06,9.999995400000003087e+00,4.406571631827278068e+00,-1.769480482305407776e-06,9.593674600000003494e+00,4.406571631827278068e+00,-1.730620694804823612e-01,9.105503900000002204e+00,4.406571631827278068e+00,-3.356948694804823830e-01,8.570495800000003328e+00,4.406571631827278068e+00,-4.717965694804824861e-01,8.023658500000003357e+00,4.406571631827278068e+00,-5.652654694804823965e-01,7.499999900000002384e+00,4.406571631827278068e+00,-5.999999694804825090e-01,6.999808000000002473e+00,4.406571631827278068e+00,-6.103999694804824738e-01,6.499904000000002569e+00,4.406571631827278068e+00,-6.351999694804824070e-01,6.000095900000001592e+00,4.406571631827278068e+00,-6.647999694804824777e-01,5.500191900000001688e+00,4.406571631827278068e+00,-6.895999694804824109e-01,5.000000000000001776e+00,4.406571631827278068e+00,-6.999999694804823758e-01,4.499382600000001453e+00,4.406571631827278068e+00,-6.995335694804825089e-01,3.998627500000001334e+00,4.406571631827278068e+00,-6.946007694804825494e-01,3.498181200000001212e+00,4.406571631827278068e+00,-6.799011694804824035e-01,2.998489900000000929e+00,4.406571631827278068e+00,-6.501343694804824214e-01,2.500000000000000888e+00,4.406571631827278068e+00,-5.999999694804825090e-01,1.972052100000000863e+00,4.406571631827278068e+00,-5.356096694804823866e-01,1.416324100000000641e+00,4.406571631827278068e+00,-4.189236694804824856e-01,1.091617200000000398e+00,4.406571631827278068e+00,-3.323212694804824063e-01,1.036886000000000418e+00,4.406571631827278068e+00,-3.179233694804824428e-01,9.893580000000001817e-01,4.406571631827278068e+00,-3.055871694804824235e-01,9.490822000000003200e-01,4.406571631827278068e+00,-2.952677694804823338e-01,9.153836000000001860e-01,4.406571631827278068e+00,-2.867381694804824188e-01,8.908577000000006407e-01,4.406571631827278068e+00,-2.805998694804823779e-01,8.880281999999999343e-01,4.406571631827278068e+00,-2.798142694804824360e-01,8.667576000000005720e-01,4.406571631827278068e+00,-2.735350694804823957e-01,8.262314000000001712e-01,4.406571631827278068e+00,-2.616550694804823940e-01,7.912059000000004616e-01,4.406571631827278068e+00,-2.514533694804824138e-01,7.603882000000004027e-01,4.406571631827278068e+00,-2.425279694804823305e-01,7.329243999999999204e-01,4.406571631827278068e+00,-2.346113694804823901e-01,7.082135000000002734e-01,4.406571631827278068e+00,-2.275139694804823587e-01,6.872918999999999556e-01,4.406571631827278068e+00,-2.215185694804823746e-01,4.102858999999998701e-01,4.406571631827278068e+00,-1.422025694804823215e-01,0.000000000000000000e+00,4.406571631827278068e+00,3.051951769084126909e-08,4.102858999999998701e-01,4.406571631827278068e+00,1.422026305195177587e-01,7.016607000000005812e-01,4.406571631827278068e+00,2.256330305195178021e-01,7.188138000000003913e-01,4.406571631827278068e+00,2.305483305195177857e-01,7.383807999999998373e-01,4.406571631827278068e+00,2.361680305195177909e-01,7.601244000000004775e-01,4.406571631827278068e+00,2.424351305195177886e-01,7.874558000000000391e-01,4.406571631827278068e+00,2.503500305195177633e-01,8.933808000000000860e-01,4.406571631827278068e+00,2.812003305195178160e-01,1.047940700000000280e+00,4.406571631827278068e+00,3.194944305195178136e-01,1.427753900000000353e+00,4.406571631827278068e+00,4.143548305195178805e-01,1.976433300000000504e+00,4.406571631827278068e+00,5.253784305195179360e-01,2.500000000000000888e+00,4.406571631827278068e+00,5.999999305195179433e-01,2.998489900000000929e+00,4.406571631827278068e+00,6.501344305195179141e-01,3.498181200000001212e+00,4.406571631827278068e+00,6.799012305195180073e-01,3.998627500000001334e+00,4.406571631827278068e+00,6.946007305195179837e-01,4.499382600000001453e+00,4.406571631827278068e+00,6.995335305195179432e-01,5.000000000000001776e+00,4.406571631827278068e+00,6.999999305195179211e-01,5.500191900000001688e+00,4.406571631827278068e+00,6.895999305195179563e-01,6.000095900000001592e+00,4.406571631827278068e+00,6.647999305195179121e-01,6.499904000000002569e+00,4.406571631827278068e+00,6.351999305195179524e-01,6.999808000000002473e+00,4.406571631827278068e+00,6.103999305195179081e-01,7.499999900000002384e+00,4.406571631827278068e+00,5.999999305195179433e-01,8.023658500000003357e+00,4.406571631827278068e+00,5.652655305195178892e-01,8.297518300000003677e+00,4.406571631827278068e+00,5.184555305195178709e-01,8.414782200000002987e+00,4.406571631827278068e+00,6.431864305195179599e-01,8.567387400000002984e+00,4.406571631827278068e+00,8.055091305195180018e-01,8.248625000000002316e+00,4.406571631827278068e+00,7.346217305195179570e-01,7.768310500000002783e+00,4.406571631827278068e+00,6.670362305195178809e-01,7.293683500000001985e+00,4.406571631827278068e+00,6.406397305195179470e-01,6.859371000000002105e+00,4.406571631827278068e+00,6.638287305195179622e-01,6.499999900000002384e+00,4.406571631827278068e+00,7.449999305195179611e-01,6.499999900000002384e+00,4.406571631827278068e+00,1.454999930519518259e+00,6.859371000000002105e+00,4.406571631827278068e+00,1.536171130519518258e+00,7.293683500000001985e+00,4.406571631827278068e+00,1.559360230519518220e+00,7.768310500000002783e+00,4.406571631827278068e+00,1.532963730519518286e+00
