WARNING: 2 open meshes merged
     Merged: WingGeom
     Merged: Horizontal_Stabilizer
...Slice...
4 Num Comps
4 Total Num Meshes
11392 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.000     0.000     0.000     0.000     0.000
    1.111     1.111     0.000    -0.001     0.555
    2.222     2.222    -0.000     0.001     1.229
    3.333     3.333     0.000     0.012     1.616
    4.444     4.444     0.000     0.025     1.984
    5.556     5.556     0.000     0.026     2.293
    6.667     6.667     0.000     0.162     2.688
    7.778     7.778     0.000     0.267     2.395
    8.889     8.889     0.000     0.158     0.967
   10.000     0.000     0.000     0.000     0.000
