   0.000000  0.226866  0.028417 -0.013808
   0.002408  0.226866  0.028375 -0.013788
   0.009607  0.226866  0.028098 -0.013653
   0.021530  0.226866  0.027096 -0.013167
   0.038060  0.226866  0.024492 -0.011903
   0.059039  0.226866  0.019128 -0.009298
   0.084265  0.226866  0.010057 -0.004890
   0.113495  0.226866 -0.002617  0.001273
   0.146447  0.226866 -0.017010  0.008280
   0.182803  0.226866 -0.029448  0.014342
   0.222215  0.226866 -0.035741  0.017411
   0.264302  0.226866 -0.034190  0.016654
   0.308658  0.226866 -0.027678  0.013478
   0.354858  0.226866 -0.021101  0.010273
   0.402455  0.226866 -0.017145  0.008345
   0.450991  0.226866 -0.015292  0.007443
   0.500000  0.226866 -0.014754  0.007181
   0.549009  0.226866 -0.015304  0.007448
   0.597545  0.226866 -0.017173  0.008359
   0.645142  0.226866 -0.021162  0.010303
   0.691342  0.226866 -0.027799  0.013538
   0.735698  0.226866 -0.034363  0.016739
   0.777785  0.226866 -0.035843  0.017461
   0.817197  0.226866 -0.029317  0.014278
   0.853553  0.226866 -0.016633  0.008096
   0.886505  0.226866 -0.002148  0.001045
   0.915735  0.226866  0.010449 -0.005081
   0.940961  0.226866  0.019365 -0.009413
   0.961940  0.226866  0.024586 -0.011948
   0.978470  0.226866  0.027094 -0.013166
   0.990393  0.226866  0.028043 -0.013627
   0.997592  0.226866  0.028295 -0.013749
   1.000000  0.226866  0.028330 -0.013766
   0.000000  0.244776  0.024717 -0.012012
   0.002408  0.244776  0.024642 -0.011975
   0.009607  0.244776  0.024291 -0.011805
   0.021530  0.244776  0.023261 -0.011305
   0.038060  0.244776  0.020840 -0.010129
   0.059039  0.244776  0.016096 -0.007825
   0.084265  0.244776  0.008261 -0.004017
   0.113495  0.244776 -0.002593  0.001262
   0.146447  0.244776 -0.014926  0.007265
   0.182803  0.244776 -0.025707  0.012517
   0.222215  0.244776 -0.031491  0.015338
   0.264302  0.244776 -0.030805  0.015003
   0.308658  0.244776 -0.025779  0.012553
   0.354858  0.244776 -0.020317  0.009891
   0.402455  0.244776 -0.016772  0.008164
   0.450991  0.244776 -0.015025  0.007313
   0.500000  0.244776 -0.014509  0.007061
   0.549009  0.244776 -0.015035  0.007318
   0.597545  0.244776 -0.016799  0.008176
   0.645142  0.244776 -0.020371  0.009917
   0.691342  0.244776 -0.025878  0.012601
   0.735698  0.244776 -0.030935  0.015067
   0.777785  0.244776 -0.031554  0.015369
   0.817197  0.244776 -0.025589  0.012460
   0.853553  0.244776 -0.014626  0.007119
   0.886505  0.244776 -0.002226  0.001083
   0.915735  0.244776  0.008572 -0.004168
   0.940961  0.244776  0.016294 -0.007921
   0.961940  0.244776  0.020931 -0.010173
   0.978470  0.244776  0.023277 -0.011313
   0.990393  0.244776  0.024264 -0.011792
   0.997592  0.244776  0.024595 -0.011952
   1.000000  0.244776  0.024664 -0.011986
   0.000000  0.262687  0.021573 -0.010485
   0.002408  0.262687  0.021477 -0.010438
   0.009607  0.262687  0.021081 -0.010246
   0.021530  0.262687  0.020052 -0.009747
   0.038060  0.262687  0.017807 -0.008656
   0.059039  0.262687  0.013592 -0.006608
