...Wave Drag Slice...
Inlet Area: 0.000000
Exit Area: 0.000000

Theta:   0.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32224273
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta:  20.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32224205
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta:  40.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32223562
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744448
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta:  60.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32223562
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576557
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta:  80.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32222852
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71451231
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta: 100.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32222852
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71445716
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta: 120.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32222852
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta: 140.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32224273
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta: 160.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32224273
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

Theta: 180.00, Start:   0.00, End:  10.00
         0.00000000,          0.00000065
         0.05263158,          0.14492812
         0.10526316,          0.38058704
         0.15789474,          0.60845262
         0.21052632,          0.79900391
         0.26315789,          0.93652274
         0.31578947,          1.02807429
         0.36842105,          1.08993499
         0.42105263,          1.12683062
         0.47368421,          1.14446177
         0.52631579,          1.32224273
         0.57894737,          1.64951237
         0.63157895,          1.79250933
         0.68421053,          2.04576413
         0.73684211,          1.98744488
         0.78947368,          1.71449488
         0.84210526,          1.18748697
         0.89473684,          0.73037289
         0.94736842,          0.29298531
         1.00000000,          0.00000084

CDWave:          0.08708519 
Mach:          1.00000000 
Set Name: Shown 
