   xfusel    yspan       cp      dMACH
   0.450991  0.528281  0.386050 -0.188032
   0.500000  0.528281  0.526258 -0.258912
   0.549009  0.528281  0.649308 -0.324119
   0.597545  0.528281  0.728034 -0.368112
   0.645142  0.528281  0.677203 -0.339463
   0.691342  0.528281  0.432440 -0.211188
   0.735698  0.528281  0.072608 -0.035237
   0.777785  0.528281 -0.247231  0.122170
   0.817197  0.528281 -0.449252  0.226950
   0.853553  0.528281 -0.543523  0.278238
   0.886505  0.528281 -0.568402  0.292091
   0.915735  0.528281 -0.557367  0.285929
   0.940961  0.528281 -0.532068  0.271907
   0.961940  0.528281 -0.504476  0.256774
   0.978470  0.528281 -0.480452  0.243726
   0.990393  0.528281 -0.462510  0.234056
   0.997592  0.528281 -0.451574  0.228192
   1.000000  0.528281 -0.447915  0.226235
   0.000000  0.548031 -0.407409  0.204731
   0.002408  0.548031 -0.410784  0.206512
   0.009607  0.548031 -0.420934  0.211880
   0.021530  0.548031 -0.437875  0.220878
   0.038060  0.548031 -0.461356  0.233436
   0.059039  0.548031 -0.490361  0.249093
   0.084265  0.548031 -0.522155  0.266451
   0.113495  0.548031 -0.550829  0.282292
   0.146447  0.548031 -0.565560  0.290502
   0.182803  0.548031 -0.549586  0.281601
   0.222215  0.548031 -0.482506  0.244837
   0.264302  0.548031 -0.349592  0.174509
   0.308658  0.548031 -0.157780  0.077414
   0.354858  0.548031  0.057771 -0.028047
   0.402455  0.548031  0.255784 -0.124043
   0.450991  0.548031  0.418333 -0.204120
   0.500000  0.548031  0.550787 -0.271637
   0.549009  0.548031  0.657672 -0.328694
   0.597545  0.548031  0.712009 -0.358975
   0.645142  0.548031  0.646340 -0.322501
   0.691342  0.548031  0.419278 -0.204592
   0.735698  0.548031  0.099870 -0.048439
   0.777785  0.548031 -0.187641  0.092268
   0.817197  0.548031 -0.377144  0.188845
   0.853553  0.548031 -0.472787  0.239587
   0.886505  0.548031 -0.505074  0.257100
   0.915735  0.548031 -0.502739  0.255826
   0.940961  0.548031 -0.485258  0.246327
   0.961940  0.548031 -0.463885  0.234795
   0.978470  0.548031 -0.444414  0.224365
   0.990393  0.548031 -0.429520  0.216434
   0.997592  0.548031 -0.420329  0.211559
   1.000000  0.548031 -0.417233  0.209920
