Time (s),Delta_Alpha (deg)
0.563694,0.307505
0.565664,0.310218
0.567634,0.312931
0.569604,0.315644
0.571574,0.318358
0.573543,0.321071
0.575513,0.323784
0.577483,0.326497
0.579453,0.329210
0.581422,0.331923
0.583392,0.334636
0.585362,0.337349
0.587332,0.340063
0.589302,0.345382
0.591271,0.350986
0.593241,0.356589
0.595211,0.362193
0.597181,0.367796
0.599150,0.373400
0.601120,0.379003
0.603090,0.384607
0.605060,0.390210
0.607030,0.395814
0.608999,0.401417
0.610969,0.407021
0.612939,0.412624
0.614909,0.418228
0.616878,0.423831
0.618848,0.429435
0.620818,0.435038
0.622788,0.440641
0.624758,0.446245
0.626727,0.451848
0.628697,0.457452
0.630667,0.463055
0.632637,0.468658
0.634606,0.474262
0.636576,0.479865
0.638546,0.485468
0.640516,0.491072
0.642486,0.496675
0.644455,0.502278
0.646425,0.507882
0.648395,0.513485
0.650365,0.519088
0.652334,0.524691
0.654304,0.530295
0.656274,0.535898
0.658244,0.541501
0.660214,0.547104
0.662183,0.552708
0.664153,0.558311
0.666123,0.563914
0.668093,0.569517
0.670062,0.575120
0.672032,0.580724
0.674002,0.586327
0.675972,0.591930
0.677942,0.597533
0.679911,0.603136
0.681881,0.608739
0.683851,0.614342
0.685821,0.619945
0.687790,0.625549
0.689760,0.631152
0.691730,0.636755
0.693700,0.650987
0.695670,0.667578
0.697639,0.684169
0.699609,0.700761
0.701579,0.717352
0.703549,0.733943
0.705518,0.750533
0.707488,0.767124
0.709458,0.783715
0.711428,0.800305
0.713398,0.816895
0.715367,0.833486
0.717337,0.850076
0.719307,0.866666
0.721277,0.883255
0.723246,0.899845
0.725216,0.916434
0.727186,0.933024
0.729156,0.949613
0.731125,0.966202
0.733095,0.982790
0.735065,0.999379
0.737035,1.015968
0.739005,1.032556
0.740974,1.049144
0.742944,1.065732
0.744914,1.082320
0.746884,1.098907
0.748853,1.121780
0.750823,1.172518
0.752793,1.223253
0.754763,1.273987
0.756733,1.324719
0.758702,1.375448
0.760672,1.426176
0.762642,1.476901
0.764612,1.527624
0.766581,1.578344
0.768551,1.629062
0.770521,1.679778
0.772491,1.730491
0.774461,1.781201
0.776430,1.831908
0.778400,1.882613
0.780370,1.933314
0.782340,1.999830
0.784309,2.069342
0.786279,2.138848
0.788249,2.208348
0.790219,2.277841
0.792189,2.347328
0.794158,2.416807
0.796128,2.486280
0.798098,2.555745
0.800068,2.625203
0.802037,2.764332
0.804007,2.945085
0.805977,3.125779
0.807947,3.306412
0.809917,3.447997
0.811886,3.556324
0.813856,3.664627
0.815826,3.772902
0.817796,3.890976
0.819765,4.020829
0.821735,4.150641
0.823705,4.280410
0.825675,4.167417
0.827645,3.637266
0.829614,3.106491
0.831584,2.575182
0.833554,2.043429
0.835524,1.511324
0.837493,0.978958
0.839463,0.446422
0.841433,-0.107530
0.843403,-0.748814
0.845373,-1.389909
0.847342,-2.030657
0.849312,-2.670897
0.851282,-3.310470
0.853252,-3.949218
0.855221,-4.586985
0.857191,-5.204361
0.859161,-5.055759
0.861131,-4.907089
0.863101,-4.758353
0.865070,-4.609553
0.867040,-4.460690
0.869010,-4.311767
0.870980,-4.215513
0.872949,-4.125377
0.874919,-4.035219
0.876889,-3.945042
0.878859,-3.854845
0.880829,-3.764629
0.882798,-3.674395
0.884768,-3.584142
0.886738,-3.468608
0.888708,-3.343408
0.890677,-3.218177
0.892647,-3.092915
0.894617,-2.967623
0.896587,-2.842303
0.898557,-2.762278
0.900526,-2.713082
0.902496,-2.663882
0.904466,-2.614678
0.906436,-2.565471
0.908405,-2.516259
0.910375,-2.467044
0.912345,-2.417825
0.914315,-2.368603
0.916284,-2.319377
0.918254,-2.280606
0.920224,-2.258870
0.922194,-2.237133
0.924164,-2.215396
0.926133,-2.193658
0.928103,-2.171920
0.930073,-2.150181
0.932043,-2.128441
0.934012,-2.106701
0.935982,-2.084960
0.937952,-2.063219
0.939922,-2.041477
0.941892,-2.019734
0.943861,-1.997991
0.945831,-1.976247
0.947801,-1.954502
0.949771,-1.933024
0.951740,-1.918517
0.953710,-1.904010
0.955680,-1.889503
0.957650,-1.874996
0.959620,-1.860488
0.961589,-1.845980
0.963559,-1.831472
0.965529,-1.816964
0.967499,-1.802455
0.969468,-1.787946
0.971438,-1.773437
0.973408,-1.758928
0.975378,-1.744419
0.977348,-1.729909
0.979317,-1.723928
0.981287,-1.721002
0.983257,-1.718077
0.985227,-1.715152
0.987196,-1.712226
0.989166,-1.709301
0.991136,-1.706376
0.993106,-1.703450
0.995076,-1.700525
0.997045,-1.697600
0.999015,-1.696200
1.000985,-1.696200
1.002955,-1.697600
1.004924,-1.700525
1.006894,-1.703450
1.008864,-1.706376
1.010834,-1.709301
1.012804,-1.712226
1.014773,-1.715152
1.016743,-1.718077
1.018713,-1.721002
1.020683,-1.723928
1.022652,-1.729909
1.024622,-1.744419
1.026592,-1.758928
1.028562,-1.773437
1.030532,-1.787946
1.032501,-1.802455
1.034471,-1.816964
1.036441,-1.831472
1.038411,-1.845980
1.040380,-1.860488
1.042350,-1.874996
1.044320,-1.889503
1.046290,-1.904010
1.048260,-1.918517
1.050229,-1.933024
1.052199,-1.954502
1.054169,-1.976247
1.056139,-1.997991
1.058108,-2.019734
1.060078,-2.041477
1.062048,-2.063219
1.064018,-2.084960
1.065988,-2.106701
1.067957,-2.128441
1.069927,-2.150181
1.071897,-2.171920
1.073867,-2.193658
1.075836,-2.215396
1.077806,-2.237133
1.079776,-2.258870
1.081746,-2.280606
1.083716,-2.319377
1.085685,-2.368603
1.087655,-2.417825
1.089625,-2.467044
1.091595,-2.516259
1.093564,-2.565471
1.095534,-2.614678
1.097504,-2.663882
1.099474,-2.713082
1.101443,-2.762278
1.103413,-2.842303
1.105383,-2.967623
1.107353,-3.092915
1.109323,-3.218177
1.111292,-3.343408
1.113262,-3.468608
1.115232,-3.584142
1.117202,-3.674395
1.119171,-3.764629
1.121141,-3.854845
1.123111,-3.945042
1.125081,-4.035219
1.127051,-4.125377
1.129020,-4.215513
1.130990,-4.311767
1.132960,-4.460690
1.134930,-4.609553
1.136899,-4.758353
1.138869,-4.907089
1.140839,-5.055759
1.142809,-5.204361
1.144779,-4.586985
1.146748,-3.949218
1.148718,-3.310470
1.150688,-2.670897
1.152658,-2.030657
1.154627,-1.389909
1.156597,-0.748814
1.158567,-0.107530
1.160537,0.446422
1.162507,0.978958
1.164476,1.511324
1.166446,2.043429
1.168416,2.575182
1.170386,3.106491
1.172355,3.637266
1.174325,4.167417
1.176295,4.280410
1.178265,4.150641
1.180235,4.020829
1.182204,3.890976
1.184174,3.772902
1.186144,3.664627
1.188114,3.556324
1.190083,3.447997
1.192053,3.306412
1.194023,3.125779
1.195993,2.945085
1.197963,2.764332
1.199932,2.625203
1.201902,2.555745
1.203872,2.486280
1.205842,2.416807
1.207811,2.347328
1.209781,2.277841
1.211751,2.208348
1.213721,2.138848
1.215691,2.069342
1.217660,1.999830
1.219630,1.933314
1.221600,1.882613
1.223570,1.831908
1.225539,1.781201
1.227509,1.730491
1.229479,1.679778
1.231449,1.629062
1.233419,1.578344
1.235388,1.527624
1.237358,1.476901
1.239328,1.426176
1.241298,1.375448
1.243267,1.324719
1.245237,1.273987
1.247207,1.223253
1.249177,1.172518
1.251147,1.121780
1.253116,1.098907
1.255086,1.082320
1.257056,1.065732
1.259026,1.049144
1.260995,1.032556
1.262965,1.015968
1.264935,0.999379
1.266905,0.982790
1.268875,0.966202
1.270844,0.949613
1.272814,0.933024
1.274784,0.916434
1.276754,0.899845
1.278723,0.883255
1.280693,0.866666
1.282663,0.850076
1.284633,0.833486
1.286602,0.816895
1.288572,0.800305
1.290542,0.783715
1.292512,0.767124
1.294482,0.750533
1.296451,0.733943
1.298421,0.717352
1.300391,0.700761
1.302361,0.684169
