   20
    8   1   8   4   6 0.30434842E+00 0.10881443E+01-0.40941386E+01 0.23341889E+01-0.25980757E+01 0.92751615E+01-0.14940820E+01
  0.29333 0.29714 0.30149 0.30640 0.31189 0.31800 0.32472 0.33202 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
  1.00308 1.03258 1.06616 1.07696 1.06254 1.02976 1.00191 0.97875 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1   9   4   7 0.35221802E+00 0.11299948E+01-0.50182190E+01 0.28975019E+01 0.12540415E+03-0.78093171E+02 0.13078487E+02
  0.34128 0.34495 0.34915 0.35389 0.35919 0.36509 0.37157 0.37863 0.38625 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
  1.03296 1.06218 1.09976 1.11642 1.10258 1.06512 1.03079 1.00465 0.98128 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1   9   4   7 0.40734555E+00 0.11674700E+01-0.56149177E+01 0.34546817E+01 0.39733802E+02-0.22144002E+02 0.35946849E+01
  0.39633 0.39984 0.40387 0.40842 0.41351 0.41917 0.42540 0.43218 0.43951 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
  1.05962 1.09297 1.13244 1.15332 1.14308 1.10364 1.06138 1.02942 1.00383 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1  10   4   8 0.47250479E+00 0.12059727E+01-0.64708519E+01 0.42634813E+01-0.14135417E+03 0.14240458E+03-0.34522031E+02
  0.46112 0.46446 0.46830 0.47263 0.47748 0.48287 0.48880 0.49526 0.50224 0.50972 0.00000 0.00000 0.00000 0.00000 0.00000
  1.08724 1.12586 1.16635 1.19174 1.18673 1.14706 1.09640 1.05523 1.02550 1.00493 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1   9   4   7 0.47692540E+00 0.10715107E+01-0.40029345E+01 0.29806119E+01-0.46965111E+03 0.44498984E+03-0.10432962E+03
  0.46151 0.46551 0.47003 0.47507 0.48063 0.48672 0.49333 0.50045 0.50807 0.50972 0.00000 0.00000 0.00000 0.00000 0.00000
  1.00601 1.04444 1.06978 1.07650 1.06050 1.03178 1.00503 0.98476 0.96839 1.00493 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1  10   4   8 0.55477650E+00 0.12462552E+01-0.84607799E+01 0.59400972E+01-0.52097455E+03 0.58032204E+03-0.16035881E+03
  0.54385 0.54745 0.55152 0.55607 0.56113 0.56671 0.57278 0.57933 0.58636 0.59384 0.00000 0.00000 0.00000 0.00000 0.00000
  1.15924 1.20165 1.23331 1.23576 1.19863 1.14037 1.08490 1.04592 1.02346 1.00324 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1   9   4   7 0.55393570E+00 0.11201950E+01-0.50701594E+01 0.39287373E+01-0.42461154E+03 0.47180078E+03-0.12993728E+03
  0.54111 0.54486 0.54910 0.55382 0.55904 0.56476 0.57096 0.57765 0.58481 0.59384 0.00000 0.00000 0.00000 0.00000 0.00000
  1.03263 1.07266 1.10354 1.11520 1.10121 1.06750 1.03037 1.00357 0.98577 1.00324 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1  10   4   8 0.65835040E+00 0.13011684E+01-0.10717660E+02 0.83571439E+01-0.50222677E+03 0.66585978E+03-0.21939012E+03
  0.64754 0.65083 0.65455 0.65872 0.66336 0.66847 0.67403 0.68004 0.68649 0.69334 0.00000 0.00000 0.00000 0.00000 0.00000
  1.19292 1.23833 1.27654 1.28769 1.25777 1.19843 1.12731 1.06800 1.03845 1.01961 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1  10   4   8 0.65736338E+00 0.11651680E+01-0.64764775E+01 0.54225672E+01-0.45790873E+03 0.60495298E+03-0.19863421E+03
  0.64504 0.64847 0.65234 0.65666 0.66144 0.66667 0.67236 0.67848 0.68504 0.69202 0.00000 0.00000 0.00000 0.00000 0.00000
  1.05957 1.10287 1.13889 1.15687 1.14900 1.11505 1.06578 1.02312 1.00019 0.98442 0.00000 0.00000 0.00000 0.00000 0.00000
   10   1   9   4   7 0.65857181E+00 0.10528730E+01-0.40032806E+01 0.36921574E+01-0.46953441E+03 0.61615575E+03-0.20108887E+03
  0.64515 0.64917 0.65364 0.65857 0.66395 0.66978 0.67604 0.68274 0.68986 0.69202 0.00000 0.00000 0.00000 0.00000 0.00000
  0.99513 1.02898 1.04884 1.05287 1.03830 1.01081 0.98453 0.96687 0.95309 0.98442 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1   9   4   7 0.79622445E+00 0.11906999E+01-0.98510857E+01 0.90343753E+01-0.73769342E+03 0.11707230E+04-0.46328963E+03
  0.78386 0.78726 0.79107 0.79527 0.79988 0.80488 0.81028 0.81606 0.82221 0.69202 0.00000 0.00000 0.00000 0.00000 0.00000
  1.12760 1.16746 1.19178 1.19207 1.16410 1.10964 1.04663 1.00792 0.99137 0.98442 0.00000 0.00000 0.00000 0.00000 0.00000
    8   1  10   4   8 0.79490616E+00 0.10821233E+01-0.54920681E+01 0.54478020E+01-0.53576915E+03 0.84898676E+03-0.33524312E+03
