 LMN  1812028 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 XYZ  0.1545799E+00 0.1962641E+00 0.3847582E-01 0.1559043E+00 0.1957211E+00 0.4114911E-01 0.1579304E+00 0.1951764E+00 0.4365971E-01
 XYZ  0.1605454E+00 0.1946133E+00 0.4610503E-01 0.1636614E+00 0.1940510E+00 0.4841692E-01 0.1673859E+00 0.1934987E+00 0.5057934E-01
 XYZ  0.1716913E+00 0.1929531E+00 0.5262232E-01 0.1765479E+00 0.1924291E+00 0.5450727E-01 0.1820329E+00 0.1919375E+00 0.5621400E-01
 XYZ  0.1881981E+00 0.1914753E+00 0.5776849E-01 0.1950244E+00 0.1910382E+00 0.5919789E-01 0.2024835E+00 0.1906296E+00 0.6050080E-01
 XYZ  0.2105799E+00 0.1902505E+00 0.6168261E-01 0.2192766E+00 0.1898993E+00 0.6275561E-01 0.2285390E+00 0.1895844E+00 0.6370045E-01
 XYZ  0.2384012E+00 0.1893127E+00 0.6450349E-01 0.2488854E+00 0.1890770E+00 0.6519107E-01 0.2599411E+00 0.1888719E+00 0.6578297E-01
 XYZ  0.2715396E+00 0.1887017E+00 0.6626954E-01 0.2836829E+00 0.1885629E+00 0.6666366E-01 0.2963110E+00 0.1884487E+00 0.6698574E-01
 XYZ  0.3093484E+00 0.1883649E+00 0.6722090E-01 0.3227761E+00 0.1883243E+00 0.6733471E-01 0.3366451E+00 0.1883296E+00 0.6731983E-01
 XYZ  0.3509378E+00 0.1883657E+00 0.6721878E-01 0.3655518E+00 0.1884373E+00 0.6701782E-01 0.3805238E+00 0.1885570E+00 0.6668027E-01
 XYZ  0.3958847E+00 0.1887094E+00 0.6624774E-01 0.4115322E+00 0.1888859E+00 0.6574289E-01 0.4274085E+00 0.1890993E+00 0.6512657E-01
 XYZ  0.4435647E+00 0.1893538E+00 0.6438263E-01 0.4600140E+00 0.1896344E+00 0.6355136E-01 0.4766701E+00 0.1899309E+00 0.6265997E-01
 XYZ  0.4934529E+00 0.1902487E+00 0.6168807E-01 0.5103632E+00 0.1905949E+00 0.6061022E-01 0.5274204E+00 0.1909621E+00 0.5944301E-01
 XYZ  0.5445581E+00 0.1913408E+00 0.5821258E-01 0.5617045E+00 0.1917365E+00 0.5689554E-01 0.5788743E+00 0.1921514E+00 0.5547839E-01
 XYZ  0.5960406E+00 0.1925784E+00 0.5397753E-01 0.6131613E+00 0.1930176E+00 0.5238519E-01 0.6302168E+00 0.1934671E+00 0.5069979E-01
 XYZ  0.6471768E+00 0.1939269E+00 0.4891186E-01 0.6640527E+00 0.1943948E+00 0.4701770E-01 0.6808186E+00 0.1948635E+00 0.4503569E-01
 XYZ  0.6974289E+00 0.1953329E+00 0.4295402E-01 0.7138996E+00 0.1958020E+00 0.4076267E-01 0.7302313E+00 0.1962633E+00 0.3847996E-01
 XYZ  0.7463813E+00 0.1967132E+00 0.3610960E-01 0.7623617E+00 0.1971518E+00 0.3363310E-01 0.7782295E+00 0.1975699E+00 0.3108245E-01
 XYZ  0.7939175E+00 0.1979578E+00 0.2850793E-01 0.8093504E+00 0.1983162E+00 0.2589775E-01 0.8245291E+00 0.1986442E+00 0.2324807E-01
 XYZ  0.8394360E+00 0.1989395E+00 0.2056927E-01 0.8540608E+00 0.1992002E+00 0.1786887E-01 0.8683834E+00 0.1994244E+00 0.1516316E-01
 XYZ  0.8823784E+00 0.1996114E+00 0.1246090E-01 0.8960236E+00 0.1997609E+00 0.9777347E-02 0.9092758E+00 0.1998733E+00 0.7118471E-02
 XYZ  0.9221282E+00 0.1999498E+00 0.4481992E-02 0.9345754E+00 0.1999911E+00 0.1891262E-02 0.9465531E+00 0.1999990E+00-0.6391764E-03
 XYZ  0.9580412E+00 0.1999755E+00-0.3133575E-02 0.9690970E+00 0.1999225E+00-0.5568769E-02 0.9796397E+00 0.1998441E+00-0.7895797E-02
 XYZ  0.9896003E+00 0.1997424E+00-0.1014840E-01 0.9990328E+00 0.1996201E+00-0.1232106E-01 0.1007888E+01 0.1994824E+00-0.1437932E-01
 XYZ  0.1016123E+01 0.1993317E+00-0.1633652E-01 0.1023752E+01 0.1991713E+00-0.1818822E-01 0.1030753E+01 0.1990056E+00-0.1991917E-01
 XYZ  0.1037121E+01 0.1988382E+00-0.2152642E-01 0.1042851E+01 0.1986753E+00-0.2298067E-01 0.1047872E+01 0.1985221E+00-0.2426868E-01
 XYZ  0.1052173E+01 0.1983795E+00-0.2540828E-01 0.1055770E+01 0.1982525E+00-0.2638058E-01 0.1058632E+01 0.1981469E+00-0.2716232E-01
 XYZ  0.1060725E+01 0.1980669E+00-0.2773981E-01 0.1062015E+01 0.1980161E+00-0.2809995E-01 0.1062456E+01 0.1979985E+00-0.2822408E-01
 LMN  1812028 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 XYZ  0.1690956E+00 0.2387902E+00 0.3689014E-01 0.1705285E+00 0.2384354E+00 0.3962529E-01 0.1724612E+00 0.2380555E+00 0.4235762E-01
 XYZ  0.1747943E+00 0.2376773E+00 0.4491162E-01 0.1777967E+00 0.2373105E+00 0.4725635E-01 0.1814576E+00 0.2369394E+00 0.4951483E-01
 XYZ  0.1856537E+00 0.2365715E+00 0.5165566E-01 0.1904274E+00 0.2362187E+00 0.5362761E-01 0.1958148E+00 0.2358843E+00 0.5543149E-01
 XYZ  0.2018501E+00 0.2355721E+00 0.5706334E-01 0.2085625E+00 0.2352794E+00 0.5855231E-01 0.2159172E+00 0.2350042E+00 0.5991744E-01
 XYZ  0.2239049E+00 0.2347496E+00 0.6115361E-01 0.2325139E+00 0.2345135E+00 0.6227719E-01 0.2416981E+00 0.2342986E+00 0.6328265E-01
 XYZ  0.2514623E+00 0.2341113E+00 0.6414581E-01 0.2618383E+00 0.2339502E+00 0.6487912E-01 0.2728007E+00 0.2338095E+00 0.6551304E-01
